anio,mes,tipo_licencia,sexo,cantidad
2017,Octubre,nuevas,MASCULINO,2863
2017,Octubre,nuevas,FEMENINO,1549
2017,Octubre,renovadas,MASCULINO,24517
2017,Octubre,renovadas,FEMENINO,9660
2017,Noviembre,nuevas,MASCULINO,3056
2017,Noviembre,nuevas,FEMENINO,1601
2017,Noviembre,renovadas,MASCULINO,25826
2017,Noviembre,renovadas,FEMENINO,10036
2017,Diciembre,nuevas,MASCULINO,2834
2017,Diciembre,nuevas,FEMENINO,1645
2017,Diciembre,renovadas,MASCULINO,24818
2017,Diciembre,renovadas,FEMENINO,9608
2018,Enero,nuevas,MASCULINO,3065
2018,Enero,nuevas,FEMENINO,1669
2018,Enero,renovadas,MASCULINO,27185
2018,Enero,renovadas,FEMENINO,10919
2018,Febrero,nuevas,MASCULINO,2506
2018,Febrero,nuevas,FEMENINO,1413
2018,Febrero,renovadas,MASCULINO,20446
2018,Febrero,renovadas,FEMENINO,8546
2018,Marzo,nuevas,MASCULINO,2867
2018,Marzo,nuevas,FEMENINO,1651
2018,Marzo,renovadas,MASCULINO,23816
2018,Marzo,renovadas,FEMENINO,9278
2018,Abril,nuevas,MASCULINO,2713
2018,Abril,nuevas,FEMENINO,1698
2018,Abril,renovadas,MASCULINO,23105
2018,Abril,renovadas,FEMENINO,8935
2018,Mayo,nuevas,MASCULINO,3056
2018,Mayo,nuevas,FEMENINO,1744
2018,Mayo,renovadas,MASCULINO,24619
2018,Mayo,renovadas,FEMENINO,9686
2018,Junio,nuevas,MASCULINO,3345
2018,Junio,nuevas,FEMENINO,1699
2018,Junio,renovadas,MASCULINO,22674
2018,Junio,renovadas,FEMENINO,9112
2018,Julio,nuevas,MASCULINO,3239
2018,Julio,nuevas,FEMENINO,1686
2018,Julio,renovadas,MASCULINO,25058
2018,Julio,renovadas,FEMENINO,10130
2018,Agosto,nuevas,MASCULINO,3801
